trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
998,False,"{'a': 0.002, 'e': 0.13587770849684613}",25,17,-2.7187253639968407,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
999,False,"{'a': 0.002, 'e': 0.1356062246541897}",20,8,8.136813631691744,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1000,False,"{'a': 0.002, 'e': 0.1353352832366127}",25,13,10.209320268117825,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.002, 'e': 0.13506488316034906}",25,0,9.85044706192355,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1002,False,"{'a': 0.002, 'e': 0.13479502334379823}",30,18,23.760064560617153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.002, 'e': 0.1345257027075204}",25,17,14.948496917993282,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.002, 'e': 0.13425692017423285}",20,11,4.267568657838463,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1005,False,"{'a': 0.002, 'e': 0.13398867466880496}",25,8,14.023298517750387,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1006,False,"{'a': 0.002, 'e': 0.13372096511825443}",30,17,-18.41044785555296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1007,False,"{'a': 0.002, 'e': 0.13345379045174263}",20,0,30.27116416948353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1008,False,"{'a': 0.002, 'e': 0.13318714960057063}",25,16,6.062039195598906,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.002, 'e': 0.13292104149817455}",30,15,14.78028917165222,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1010,False,"{'a': 0.002, 'e': 0.13265546508012174}",20,11,14.19169338893562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.002, 'e': 0.13239041928410608}",20,8,20.04791779712645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.002, 'e': 0.13212590304994412}",20,0,20.362268884129925,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1013,False,"{'a': 0.002, 'e': 0.13186191531957048}",35,21,23.86171741662369,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1014,False,"{'a': 0.002, 'e': 0.131598455037034}",20,2,26.728731787383083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.002, 'e': 0.13133552114849306}",30,16,23.740774010126337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.002, 'e': 0.13107311260221188}",20,9,18.933002074169803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.002, 'e': 0.13081122834855585}",25,18,13.010706988291018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.002, 'e': 0.13054986733998766}",20,13,11.052650363285306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.002, 'e': 0.13028902853106283}",25,7,12.92020702422259,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1020,False,"{'a': 0.002, 'e': 0.13002871087842593}",30,6,13.92846335482287,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1021,False,"{'a': 0.002, 'e': 0.12976891334080584}",25,7,25.744608113199362,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.002, 'e': 0.1295096348790122}",20,7,19.968471301784003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.002, 'e': 0.1292508744559307}",25,3,35.54609819038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.002, 'e': 0.1289926310365194}",20,10,18.98250721776173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.002, 'e': 0.12873490358780426}",30,7,40.894379109686255,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.002, 'e': 0.12847769107887505}",20,4,2.864795418073176,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1027,False,"{'a': 0.002, 'e': 0.1282209924808815}",30,0,24.878682843679112,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1028,False,"{'a': 0.002, 'e': 0.12796480676702882}",25,17,12.413709492917262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.002, 'e': 0.12770913291257385}",25,16,15.975314205758723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.002, 'e': 0.12745396989482075}",20,12,12.727370507123926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.002, 'e': 0.12719931669311724}",20,16,8.25209827260846,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.002, 'e': 0.12694517228885005}",20,12,12.269079809671176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.002, 'e': 0.1266915356654413}",25,1,4.946084001982841,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
1034,False,"{'a': 0.002, 'e': 0.12643840580834412}",20,16,6.287975625418767,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.002, 'e': 0.12618578170503877}",25,14,17.759864763700307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.002, 'e': 0.12593366234502848}",20,14,-34.70427736380025,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
1037,False,"{'a': 0.002, 'e': 0.1256820467198355}",35,22,-18.345344181398573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1038,False,"{'a': 0.002, 'e': 0.12543093382299694}",20,12,12.248641509684383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.002, 'e': 0.12518032265006096}",20,2,4.813103555202458,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1040,False,"{'a': 0.002, 'e': 0.12493021219858243}",25,10,21.108503829954383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1041,False,"{'a': 0.002, 'e': 0.12468060146811932}",25,17,13.766276834764007,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.002, 'e': 0.12443148946022828}",25,0,-2.8711035736124675,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1043,False,"{'a': 0.002, 'e': 0.12418287517846104}",25,17,14.423192735849176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.002, 'e': 0.12393475762836004}",25,0,39.70927811089462,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1045,False,"{'a': 0.002, 'e': 0.12368713581745484}",25,0,21.972512566099994,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1046,False,"{'a': 0.002, 'e': 0.12344000875525779}",20,11,8.541421800382235,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.002, 'e': 0.1231933754532604}",20,11,14.767977086717007,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.002, 'e': 0.12294723492492901}",20,2,30.5228921370436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.002, 'e': 0.12270158618570132}",25,2,31.167259999085562,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
